"prod_id","tran_wk","weekly_sales","weekly_paid","weekly_qty","shelf_price","discount_majority","seas_index","holiday_index","year","week","tv_reach","radio_reach","flyer","display","email","paid_search","web"
138936952,2016-07-17,506.73,506.73,127,3.99,0,11892.13265,0,2016,29,0.370036556615148,0.220649833259629,0,0,0,29209,4e+05
138936952,2016-07-24,662.34,579.34,166,3.99,0.5,11859.92857,0,2016,30,0.345789092692387,0.189559024443169,1,0,0,28608,3e+05
138936952,2017-01-01,544.83,481.33,127,4.29,0.5,5601.346939,1,2017,1,0.189994088787556,0.109573775849652,1,0,2e+05,3894,0
138936952,2017-08-13,725.22,725.22,158,4.59,0,11537.63265,1,2017,33,0.275894287725024,0.15940315672934,0,0,0,38326,0
138936952,2017-09-10,371.79,371.79,81,4.59,0,9897.285714,0,2017,37,0.204637039273403,0.0835827298840412,0,0,0,8252,0
138936952,2017-10-15,422.06,422.06,94,4.49,0,7766.846939,0,2017,42,0.415989571075138,0.619553833987037,0,0,0,36119,0
138936952,2016-09-18,471.9,471.9,110,4.29,0,9003.265306,0,2016,38,0.192371884139565,0.051671841849467,0,0,0,42687,0
138936952,2017-12-24,651.05,578.55,145,4.49,0.5,6241.306122,1,2017,52,0.204344112191846,0.167640991612962,1,0,2e+05,15925,0
138936952,2016-01-10,331.17,331.17,83,3.99,0,5335.27551,0,2016,2,0,0,0,0,0,29342,0
138936952,2016-03-20,502.74,439.74,126,3.99,0.5,6636.459184,1,2016,12,0,0,1,0,0,23157,0
138936952,2016-04-10,478.8,478.8,120,3.99,0,7395.22449,0,2016,15,0,0,0,0,0,12244,0
138936952,2016-04-17,586.53,513.03,147,3.99,0.5,7664.795918,1,2016,16,0,0,1,0,0,20063,0
138936952,2016-04-24,542.64,474.64,136,3.99,0.5,7919.316327,1,2016,17,0,0,0,0,0,3196,0
138936952,2016-05-01,650.37,568.87,163,3.99,0.5,8199.142857,1,2016,18,0,0,1,0,0,8889,0
138936952,2016-06-12,478.8,478.8,120,3.99,0,10402.4898,0,2016,24,0.506194809912152,0.438977617910447,0,0,0,37552,0
138936952,2016-08-07,698.25,610.75,175,3.99,0.5,11537.63265,1,2016,32,0.300681179555485,0.138600855210125,0,1,0,8184,0
138936952,2016-08-21,574.86,574.86,134,4.29,0,10835.37755,0,2016,34,0.260153694582893,0.100377040098805,0,0,0,13910,0
138936952,2016-09-11,459.03,459.03,107,4.29,0,9453.704082,0,2016,37,0.20772965085785,0.0611094470775336,0,0,0,17587,0
138936952,2016-10-02,806.52,618.52,188,4.29,1,8154.459184,1,2016,40,0.472665657061331,0.638271261787645,1,0,0,7044,0
138936952,2016-10-23,446.16,446.16,104,4.29,0,7119.765306,0,2016,43,0.391221760111861,0.46818029700581,0,0,0,2643,0
138936952,2016-11-20,338.91,338.91,79,4.29,0,6632.091837,0,2016,47,0.297250239542617,0.276591841010425,0,0,0,41354,0
138936952,2016-12-04,398.97,398.97,93,4.29,0,6488.877551,1,2016,49,0.257089842759053,0.205807093528249,0,0,0,48090,0
138936952,2016-12-11,330.33,330.33,77,4.29,0,6408.908163,0,2016,50,0.238702556543388,0.176529105882292,0,0,0,5852,0
138936952,2017-01-15,317.46,317.46,74,4.29,0,5335.27551,0,2017,3,0.162527922758836,0.0789397964696147,0,0,0,31447,0
138936952,2017-01-22,330.33,330.33,77,4.29,0,5262.316327,0,2017,4,0.150168738790556,0.0668598467754624,0,0,0,43794,0
138936952,2017-01-29,450.45,397.95,105,4.29,0.5,5252.102041,0,2017,5,0.138664896988365,0.0565644056981509,0,0,0,37269,0
138936952,2017-02-12,227.37,227.37,53,4.29,0,5516.459184,0,2017,7,0.118039752772316,0.0403755568986263,0,0,0,10658,0
138936952,2017-02-26,527.67,404.67,123,4.29,1,5867.561224,1,2017,9,0.340334606941618,0.635811657340429,1,0,0,21665,0
138936952,2017-03-05,356.07,356.07,83,4.29,0,6017.255102,0,2017,10,0.317472770935268,0.578923086000721,0,0,0,45288,1e+05
138936952,2017-05-14,385.56,385.56,84,4.59,0,8516.928571,0,2017,20,0.442851604941385,0.363152294114896,0,0,0,36217,0
138936952,2017-05-21,358.02,358.02,78,4.59,0,8811.969388,0,2017,21,0.415732442790118,0.317155665960141,0,0,0,48031,0
138936952,2017-06-25,459,459,100,4.59,0,10771.52041,0,2017,26,0.443634074030806,0.432825476381065,0,0,0,43939,0
138936952,2017-07-02,601.29,601.29,131,4.59,0,11120.06122,0,2017,27,0.416488387460003,0.38145551164183,0,0,0,48573,0
138936952,2017-07-23,578.34,578.34,126,4.59,0,11892.13265,0,2017,30,0.341164145327327,0.251573387917305,0,0,0,34590,0
138936952,2017-10-29,359.2,359.2,80,4.49,0,7119.765306,1,2017,44,0.364733996817929,0.50538954855464,0,0,0,37586,0
138936952,2016-01-24,446.88,446.88,112,3.99,0,5252.102041,0,2016,4,0,0,0,0,0,24650,0
138936952,2016-02-14,259.35,259.35,65,3.99,0,5686.591837,0,2016,7,0,0,0,0,0,23529,0
138936952,2016-02-21,335.16,335.16,84,3.99,0,5867.561224,0,2016,8,0,0,0,0,0,36556,0
